ID,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Education_Int,Marital_Status_Int,Children,MntTotalSpent,Age,NumTotalPurchases,Seniority
5524,58138.0,58,635,88,546,172,88,88,8,10,4,7,0,2,0,0,1617,66,22,3
2174,46344.0,38,11,1,6,2,1,6,1,1,2,5,0,2,0,2,27,69,4,1
4141,71613.0,26,426,49,127,111,21,42,8,2,10,4,0,2,1,0,776,58,20,2
6182,26646.0,26,11,4,20,10,3,5,2,0,4,6,0,2,1,1,53,39,6,1
5324,58293.0,94,173,43,118,46,27,15,5,3,6,5,0,4,2,1,422,42,14,1
7446,62513.0,16,520,42,98,0,42,14,6,4,10,6,0,3,1,1,716,56,20,2
965,55635.0,34,235,65,164,50,49,27,7,3,7,6,0,2,3,1,590,52,17,3
6177,33454.0,32,76,10,56,3,1,23,4,0,4,8,0,4,2,1,169,38,8,2
4855,30351.0,19,14,0,24,3,3,2,3,0,2,9,0,4,1,1,46,49,5,2
5899,5648.0,68,28,0,6,1,1,13,1,0,0,20,0,4,1,2,49,73,1,1
1994,,11,5,5,6,0,2,1,1,0,2,7,0,2,2,1,19,40,3,2
387,7500.0,59,6,16,11,11,1,16,2,0,3,8,0,0,2,0,61,47,5,3
2125,63033.0,82,194,61,480,225,112,30,3,4,8,2,0,2,3,0,1102,64,15,2
8180,59354.0,53,233,2,53,3,5,14,6,1,5,6,0,3,3,2,310,71,12,2
2569,17323.0,38,3,14,17,6,1,5,1,0,3,8,0,2,2,0,46,36,4,3
2114,82800.0,23,1006,22,115,59,68,45,7,6,12,3,0,4,0,0,1315,77,25,3
9736,41850.0,51,53,5,19,2,13,4,3,0,3,8,0,2,2,2,96,43,6,3
4939,37760.0,20,84,5,38,150,12,28,4,1,6,7,0,2,1,0,317,77,11,3
6565,76995.0,91,1012,80,498,0,16,176,11,4,9,5,0,3,2,1,1782,74,24,2
2278,33812.0,86,4,17,19,30,24,39,2,1,3,6,0,1,0,1,133,38,6,3
9360,37040.0,41,86,2,73,69,38,48,4,2,5,8,0,2,2,0,316,41,11,3
5376,2447.0,42,1,1,1725,1,1,1,0,28,0,1,0,2,2,1,1730,44,28,2
1993,58607.0,63,867,0,86,0,0,19,2,3,9,8,0,4,2,1,972,74,14,3
4047,65324.0,0,384,0,102,21,32,5,6,2,9,4,0,4,2,1,544,69,17,1
1409,40689.0,69,270,3,27,39,6,99,7,1,5,8,0,2,1,1,444,72,13,2
7892,18589.0,89,6,4,25,15,12,13,2,1,3,7,0,2,0,0,75,54,6,2
2404,53359.0,4,173,4,30,3,6,41,5,1,4,7,0,2,2,2,257,47,10,2
5255,,19,5,1,3,3,263,362,27,0,0,1,0,2,0,1,637,37,27,2
9422,38360.0,26,36,2,42,20,21,10,2,1,4,3,0,2,2,1,131,34,7,2
1966,84618.0,96,684,100,801,21,66,0,6,9,10,2,0,4,2,0,1672,58,25,2
6864,10979.0,34,8,4,10,2,2,4,3,0,3,5,0,3,3,0,30,34,6,1
3033,38620.0,56,112,17,44,34,22,89,2,5,3,3,0,3,1,0,318,60,10,2
5710,40548.0,31,110,0,5,2,0,3,2,1,4,5,0,2,1,1,120,53,7,3
7373,46610.0,8,96,12,96,33,22,43,4,1,6,6,0,4,3,2,302,71,11,3
8755,68657.0,4,482,34,471,119,68,22,3,5,9,7,0,3,2,0,1196,77,17,2
10738,49389.0,55,40,0,19,2,1,3,2,0,3,7,0,3,0,2,65,72,5,2
4339,67353.0,37,702,17,151,0,8,35,5,6,12,2,0,4,2,1,913,53,23,2
10755,23718.0,76,6,3,14,15,7,36,3,1,2,7,0,1,2,1,81,47,6,2
8595,42429.0,99,55,0,6,2,0,4,1,1,3,5,0,2,4,1,67,50,5,1
2968,48948.0,53,437,8,206,160,49,42,7,10,5,6,0,4,3,0,902,80,22,2
8601,80011.0,3,421,76,536,82,178,102,8,6,5,4,0,2,2,1,1395,43,19,2
503,20559.0,88,13,1,29,3,0,7,2,0,3,8,0,3,2,1,53,38,5,2
8430,21994.0,4,9,0,6,3,1,3,0,0,3,5,0,2,1,1,22,66,3,3
7281,,80,81,11,50,3,2,39,1,3,4,2,0,4,0,0,186,64,8,2
2139,7500.0,19,3,1,10,3,2,12,2,0,3,5,0,3,2,1,31,48,5,2
1371,79941.0,72,123,164,266,227,30,174,2,4,9,1,0,2,0,0,984,47,15,1
9909,7500.0,24,3,18,14,15,22,50,3,1,3,9,0,1,2,0,122,27,7,3
7286,41728.0,92,13,6,15,3,5,13,2,0,2,10,0,2,1,1,55,55,4,2
7244,,96,48,5,48,6,10,7,2,1,4,6,0,2,0,3,124,72,7,1
6566,72550.0,39,826,50,317,50,38,38,5,2,12,8,0,4,2,2,1319,69,19,3
8614,65486.0,29,245,19,125,37,67,14,4,2,10,2,0,2,4,1,507,66,16,1
4114,79143.0,2,650,37,780,27,167,32,6,9,13,3,0,3,2,0,1693,59,28,3
